geoid,units_single_family,units_multi_family,units_total,year
20191,64,0,64,2000
20193,3,0,3,2000
20195,1,0,1,2000
20197,32,0,32,2000
20199,0,0,0,2000
20201,0,0,0,2000
20203,2,0,2,2000
20205,2,0,2,2000
20207,5,2,7,2000
20209,189,50,239,2000
21001,0,0,0,2000
21005,151,16,167,2000
21009,45,16,61,2000
21011,4,0,4,2000
21013,65,4,69,2000
21015,1264,188,1452,2000
21017,157,0,157,2000
21019,18,0,18,2000
21021,129,17,146,2000
21025,0,0,0,2000
21027,14,0,14,2000
21029,633,56,689,2000
21031,1,0,1,2000
21033,27,0,27,2000
21035,22,43,65,2000
21037,239,60,299,2000
21041,4,0,4,2000
21043,7,8,15,2000
21045,2,0,2,2000
21047,249,80,329,2000
21049,347,43,390,2000
21051,0,0,0,2000
21053,0,6,6,2000
21057,1,2,3,2000
21059,707,128,835,2000
21065,1,0,1,2000
21067,1898,646,2544,2000
21069,2,0,2,2000
21071,2,4,6,2000
21073,138,92,230,2000
21075,5,0,5,2000
21077,0,0,0,2000
21079,9,8,17,2000
21081,157,62,219,2000
21083,11,4,15,2000
21085,0,3,3,2000
21087,0,0,0,2000
21089,48,4,52,2000
21091,0,0,0,2000
21093,405,35,440,2000
21095,0,0,0,2000
21097,60,13,73,2000
21099,35,2,37,2000
21101,139,32,171,2000
21103,127,0,127,2000
21107,36,4,40,2000
21109,0,0,0,2000
21111,2797,1012,3809,2000
21113,340,112,452,2000
21115,4,0,4,2000
21117,543,200,743,2000
21121,2,0,2,2000
21123,107,2,109,2000
21125,10,7,17,2000
21127,0,0,0,2000
21133,0,0,0,2000
21135,0,0,0,2000
21137,196,10,206,2000
21141,11,39,50,2000
21143,11,0,11,2000
21145,163,8,171,2000
21147,0,0,0,2000
21149,4,0,4,2000
21151,228,123,351,2000
21155,7,0,7,2000
21157,125,5,130,2000
21161,17,0,17,2000
21163,9,18,27,2000
21167,109,8,117,2000
21173,126,8,134,2000
21177,13,5,18,2000
21179,439,29,468,2000
21181,3,0,3,2000
21183,10,2,12,2000
21185,561,65,626,2000
21187,1,7,8,2000
21191,0,0,0,2000
21193,10,10,20,2000
21195,28,10,38,2000
21199,30,4,34,2000
21205,16,0,16,2000
21207,3,0,3,2000
21209,184,2,186,2000
21211,316,106,422,2000
21213,98,36,134,2000
21215,284,33,317,2000
21217,8,0,8,2000
21219,0,0,0,2000
21221,12,0,12,2000
21225,42,0,42,2000
21227,627,174,801,2000
21229,3,2,5,2000
21231,0,0,0,2000
21233,5,0,5,2000
21235,7,18,25,2000
21239,157,4,161,2000
22001,152,0,152,2000
22003,17,0,17,2000
22005,796,4,800,2000
22007,81,0,81,2000
22009,208,0,208,2000
22011,3,0,3,2000
22013,0,0,0,2000
22015,438,0,438,2000
22017,505,0,505,2000
22019,893,66,959,2000
22021,12,0,12,2000
22023,42,0,42,2000
22025,24,0,24,2000
22027,0,0,0,2000
22029,33,0,33,2000
22031,0,0,0,2000
22033,1109,384,1493,2000
22035,0,0,0,2000
22037,1,0,1,2000
22039,104,8,112,2000
22041,34,0,34,2000
22043,1,0,1,2000
22045,181,0,181,2000
22047,79,0,79,2000
22049,2,0,2,2000
22051,699,118,817,2000
22053,67,6,73,2000
22055,854,44,898,2000
22057,285,0,285,2000
22059,3,0,3,2000
22061,105,15,120,2000
22063,843,0,843,2000
22065,17,3,20,2000
22067,7,38,45,2000
22069,68,55,123,2000
22071,348,331,679,2000
22073,366,29,395,2000
22075,118,0,118,2000
22077,67,34,101,2000
22079,376,64,440,2000
22081,1,0,1,2000
22083,31,2,33,2000
22085,0,0,0,2000
22087,96,12,108,2000
22089,174,2,176,2000
22091,11,0,11,2000
22093,14,2,16,2000
22095,242,8,250,2000
22097,233,4,237,2000
22099,171,0,171,2000
22101,90,12,102,2000
22103,1798,221,2019,2000
22105,469,83,552,2000
22107,28,0,28,2000
22109,407,4,411,2000
22111,2,0,2,2000
22113,125,0,125,2000
22115,1,0,1,2000
22117,114,2,116,2000
22119,17,60,77,2000
22121,86,0,86,2000
22123,2,0,2,2000
22125,59,0,59,2000
22127,0,0,0,2000
23000,90,0,90,2000
23001,310,11,321,2000
23003,121,8,129,2000
23005,1588,92,1680,2000
23007,109,0,109,2000
23009,356,22,378,2000
23011,348,41,389,2000
23013,219,17,236,2000
23015,204,0,204,2000
23017,248,24,272,2000
23019,356,126,482,2000
23021,41,2,43,2000
